"d8_1","d8_2","d8_3","d9","d10","d11","d14","d181","estred13","d16","d260","d20","d21_1","d21_4_1","d21_11","d21_12","d21_13","d21_14_1","d21_15_1","d21_15_4","d21_18","d21_18_1","d21_19","d21_19_1","d23","d24","d25","h171_2","ht2","ht9","YHOG","YSVL","e27","e45_1","e45_2","e45_3","e46","e51_4","e210_1","e51_5","e210_2","e212","e215","e218"
9,0,12000,2,2,1,1,2,2,1,6,3,2,1,2,2,2,0,2,0,2,0,2,0,3,0,3,0,1,1,6579,35909.5,70,1,2,2,2,0,0,0,0,3,0,0
5,0,8000,3,2,1,1,2,2,1,3,3,1,0,2,2,1,0,2,1,2,0,2,0,2,1,3,0,1,0,3079,69957,40,2,1,2,2,3,1,0,0,3,0,0
5,0,11000,3,2,1,1,2,6,2,1,3,1,1,2,2,2,0,0,0,2,0,2,0,3,0,3,0,1,2,3902,35853,74,1,2,2,2,0,0,0,0,3,0,0
2,0,15000,4,3,1,1,2,12,1,3,3,1,0,2,2,1,0,0,0,2,0,2,0,3,0,3,0,2,1,2817,61851,86,2,1,2,1,0,0,0,0,3,0,0
1,1100,5000,5,3,1,1,2,7,1,5,3,1,1,2,2,2,0,1,0,2,0,1,1,4,1,5,0,4,3,7820,57775,14,1,2,2,2,2,1,0,0,0,0,0
2,0,25000,3,2,1,1,2,4,1,1,2,1,0,2,2,1,1,2,1,2,0,2,0,1,0,1,0,1,1,0,60000,71,2,1,2,1,3,2,1,2,3,0,0
5,0,10000,4,3,1,1,1,10,2,1,3,1,0,2,2,1,4,2,2,1,2,2,0,2,2,4,0,1,0,4912.43333333333,112848.433333333,2,2,1,2,1,0,0,0,0,0,0,0
2,0,28000,5,3,1,2,2,5,1,3,3,1,0,2,1,1,2,2,1,2,0,1,1,3,0,3,0,1,0,50000,74360,19,2,1,2,2,3,1,0,0,2,0,0
2,0,18000,3,2,1,1,1,4,1,3,3,1,0,2,2,1,2,2,0,2,0,2,0,2,0,2,0,1,2,4542,29742,46,2,1,2,1,0,0,0,0,3,0,0
8,0,7000,3,2,1,1,2,7,1,6,3,1,1,2,2,2,0,1,0,2,0,2,0,3,2,5,0,1,2,4730.5,22330.5,28,1,2,2,2,3,1,0,0,3,0,0
2,0,3500,1,1,1,1,2,7,2,6,3,2,1,2,2,2,0,0,0,2,0,2,0,1,0,1,0,0,1,2121,12421,78,1,2,2,2,0,0,0,0,3,0,0
2,0,13000,3,2,1,1,2,8,1,1,3,1,0,2,2,2,2,2,1,1,1,1,1,2,0,2,0,1,0,0,71259,25,2,1,2,2,3,1,0,0,3,3,3
5,0,17060,4,3,1,2,2,2,1,6,3,1,0,2,2,1,0,2,2,2,0,2,0,3,0,3,0,0,0,9697,58111,21,1,2,2,2,3,1,3,1,3,3,2
5,0,3100,4,1,1,1,2,2,1,3,3,1,0,2,2,1,1,2,1,2,0,2,0,2,0,2,0,1,2,4428,33928,73,2,1,2,2,2,1,0,0,3,0,0
8,0,20000,4,1,1,1,2,3,1,1,3,1,0,2,2,2,0,2,1,2,0,2,0,1,0,1,0,0,0,0,21262,31,2,1,2,1,3,1,0,0,3,0,0
5,0,7630,5,2,1,1,2,11,2,5,3,1,1,2,2,2,0,1,0,2,0,2,0,2,0,2,0,1,0,2027,37842,31,1,2,2,2,0,0,0,0,3,0,0
